LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
25.25,77.75,1.04,1.25,1.58,1.89,2.23,2.44,2.47,2.3,1.97,1.42,1.08,0.96,1.72
25.25,78.25,1.06,1.27,1.59,1.93,2.25,2.46,2.47,2.31,1.99,1.45,1.09,0.98,1.74
25.75,60.25,1.13,1.37,1.79,1.94,2.08,2.21,2.28,2.11,1.75,1.33,1.09,1.04,1.68
25.75,60.75,1.13,1.37,1.79,1.94,2.08,2.21,2.28,2.11,1.75,1.33,1.09,1.04,1.68
25.75,61.25,1.16,1.41,1.81,2.0,2.16,2.26,2.31,2.17,1.86,1.45,1.18,1.09,1.74
25.75,61.75,1.16,1.41,1.81,2.0,2.16,2.26,2.31,2.17,1.86,1.45,1.18,1.09,1.74
25.75,62.25,1.11,1.37,1.76,2.0,2.22,2.3,2.37,2.21,1.87,1.41,1.14,1.07,1.74
25.75,62.75,1.11,1.37,1.76,2.0,2.22,2.3,2.37,2.21,1.87,1.41,1.14,1.07,1.74
25.75,63.25,1.13,1.38,1.77,1.99,2.21,2.29,2.38,2.21,1.87,1.41,1.16,1.09,1.74
25.75,63.75,1.13,1.38,1.77,1.99,2.21,2.29,2.38,2.21,1.87,1.41,1.16,1.09,1.74
25.75,64.25,1.09,1.34,1.73,1.94,2.13,2.2,2.34,2.18,1.81,1.41,1.14,1.04,1.7
25.75,64.75,1.09,1.34,1.73,1.94,2.13,2.2,2.34,2.18,1.81,1.41,1.14,1.04,1.7
25.75,65.25,1.12,1.37,1.75,1.95,2.14,2.2,2.33,2.18,1.83,1.46,1.18,1.05,1.71
25.75,65.75,1.12,1.37,1.75,1.95,2.14,2.2,2.33,2.18,1.83,1.46,1.18,1.05,1.71
25.75,66.25,1.03,1.27,1.63,1.89,2.12,2.23,2.36,2.2,1.8,1.37,1.12,0.98,1.67
25.75,66.75,1.03,1.27,1.63,1.89,2.12,2.23,2.36,2.2,1.8,1.37,1.12,0.98,1.67
25.75,67.25,1.15,1.41,1.74,1.93,2.13,2.23,2.39,2.24,1.89,1.51,1.23,1.07,1.75
25.75,67.75,1.15,1.41,1.74,1.93,2.13,2.23,2.39,2.24,1.89,1.51,1.23,1.07,1.75
25.75,68.25,1.18,1.43,1.7,1.89,2.06,2.14,2.3,2.13,1.8,1.56,1.29,1.12,1.72
25.75,68.75,1.18,1.43,1.7,1.89,2.06,2.14,2.3,2.13,1.8,1.56,1.29,1.12,1.72
25.75,69.25,1.04,1.27,1.63,1.93,2.18,2.27,2.38,2.21,1.82,1.43,1.13,0.96,1.69
25.75,69.75,1.04,1.27,1.63,1.93,2.18,2.27,2.38,2.21,1.82,1.43,1.13,0.96,1.69
25.75,70.25,1.05,1.32,1.68,2.0,2.22,2.33,2.44,2.27,1.88,1.46,1.15,1.02,1.74
25.75,70.75,1.05,1.32,1.68,2.0,2.22,2.33,2.44,2.27,1.88,1.46,1.15,1.02,1.74
25.75,71.25,1.04,1.33,1.7,1.98,2.17,2.31,2.45,2.29,1.9,1.45,1.17,1.02,1.73
25.75,71.75,1.04,1.33,1.7,1.98,2.17,2.31,2.45,2.29,1.9,1.45,1.17,1.02,1.73
25.75,72.25,1.08,1.34,1.61,1.85,2.05,2.23,2.43,2.28,1.87,1.51,1.19,1.08,1.71
25.75,72.75,1.08,1.34,1.61,1.85,2.05,2.23,2.43,2.28,1.87,1.51,1.19,1.08,1.71
25.75,73.25,1.03,1.3,1.63,1.93,2.13,2.31,2.46,2.3,1.9,1.47,1.09,1.0,1.72
25.75,73.75,1.03,1.3,1.63,1.93,2.13,2.31,2.46,2.3,1.9,1.47,1.09,1.0,1.72
25.75,74.25,0.99,1.25,1.6,1.97,2.22,2.39,2.48,2.32,1.91,1.43,1.08,0.94,1.72
25.75,74.75,0.99,1.25,1.6,1.97,2.22,2.39,2.48,2.32,1.91,1.43,1.08,0.94,1.72
25.75,75.25,1.03,1.26,1.63,1.96,2.23,2.4,2.48,2.31,1.91,1.43,1.08,0.95,1.73
25.75,75.75,1.03,1.26,1.63,1.96,2.23,2.4,2.48,2.31,1.91,1.43,1.08,0.95,1.73
25.75,76.25,1.05,1.25,1.63,1.96,2.24,2.41,2.47,2.31,1.94,1.42,1.09,0.96,1.73
25.75,76.75,1.05,1.25,1.63,1.96,2.24,2.41,2.47,2.31,1.94,1.42,1.09,0.96,1.73
25.75,77.25,1.04,1.25,1.58,1.89,2.23,2.44,2.47,2.3,1.97,1.42,1.08,0.96,1.72
25.75,77.75,1.04,1.25,1.58,1.89,2.23,2.44,2.47,2.3,1.97,1.42,1.08,0.96,1.72
25.75,78.25,1.06,1.27,1.59,1.93,2.25,2.46,2.47,2.31,1.99,1.45,1.09,0.98,1.74
26.25,60.25,0.99,1.18,1.7,1.82,1.96,2.1,2.15,1.93,1.6,1.19,0.95,0.93,1.54
26.25,60.75,0.99,1.18,1.7,1.82,1.96,2.1,2.15,1.93,1.6,1.19,0.95,0.93,1.54
26.25,61.25,0.95,1.17,1.64,1.8,2.05,2.18,2.2,2.0,1.65,1.23,0.94,0.91,1.56
26.25,61.75,0.95,1.17,1.64,1.8,2.05,2.18,2.2,2.0,1.65,1.23,0.94,0.91,1.56
